# ipc_version: 2026.01
# source: WIPO IPC scheme EN XML 2026.01 + CNIPA Chinese classification PDFs
code,zh,en
A01B,农业或林业的整地,"SOIL WORKING IN AGRICULTURE OR FORESTRY；PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL"
A01C,种植,PLANTING；SOWING；FERTILISING
A01D,收获,HARVESTING；MOWING
A01F,脱粒,"THRESHING；BALING OF STRAW, HAY OR THE LIKE；STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW, HAY OR THE LIKE INTO BUNDLES；CUTTING OF STRAW, HAY OR THE LIKE；STORING AGRICULTURAL OR HORTICULTURAL PRODUCE"
A01G,园艺,"HORTICULTURE；CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED；FORESTRY；WATERING"
A01H,新植物或获得新植物的方法,NEW PLANTS OR PROCESSES FOR OBTAINING THEM；PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES
A01J,乳制品的加工,MANUFACTURE OF DAIRY PRODUCTS
A01K,畜牧业,"ANIMAL HUSBANDRY；AVICULTURE；APICULTURE；PISCICULTURE；FISHING；REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR；NEW BREEDS OF ANIMALS"
A01L,动物钉蹄铁,SHOEING OF ANIMALS
A01M,动物的捕捉、诱捕或惊吓,"CATCHING, TRAPPING OR SCARING OF ANIMALS；APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS"
A01N,人体、动植物体或其局部的保存,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF；BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES；PEST REPELLANTS OR ATTRACTANTS；PLANT GROWTH REGULATORS"
A01P,化学化合物或制剂的杀生、害虫驱避、害虫引诱或植物生长调节活性,"BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS"
A21B,食品烤炉,BAKERS' OVENS；MACHINES OR EQUIPMENT FOR BAKING
A21C,制作或加工面团的机械或设备,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS；HANDLING BAKED ARTICLES MADE FROM DOUGH
A21D,焙烤用面粉或面团的处理，例如通过添加材料,"TREATMENT OF FLOUR OR DOUGH FOR BAKING, e.g. BY ADDITION OF MATERIALS；BAKING；BAKERY PRODUCTS"
A22B,屠宰,SLAUGHTERING
A22C,肉类、家禽或鱼的加工,"PROCESSING MEAT, POULTRY, OR FISH"
A23B,食品、食料或非酒精饮料的保存;水果或蔬菜的化学催熟,"PRESERVATION OF FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES；CHEMICAL RIPENING OF FRUIT OR VEGETABLES"
A23C,"乳制品,如奶、黄油、干酪","DAIRY PRODUCTS, e.g. MILK, BUTTER OR CHEESE；MILK OR CHEESE SUBSTITUTES；PREPARATION THEREOF"
A23D,食用油或脂肪,"EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS OR COOKING OILS"
A23F,咖啡,"COFFEE；TEA；THEIR SUBSTITUTES；MANUFACTURE, PREPARATION, OR INFUSION THEREOF"
A23G,可可,"COCOA；COCOA PRODUCTS, e.g. CHOCOLATE；SUBSTITUTES FOR COCOA OR COCOA PRODUCTS；CONFECTIONERY；CHEWING GUM；ICE-CREAM；PREPARATION THEREOF"
A23J,食用蛋白质组合物,PROTEIN COMPOSITIONS FOR FOODSTUFFS；WORKING-UP PROTEINS FOR FOODSTUFFS；PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS
